customer_id,credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn
14868932,822,Germany,Female,39,10,112983.99,1,1,1,92211.05,1
15439645,671,France,Female,18,3,137485.89,2,1,0,92589.5,0
6657851,616,France,Female,39,1,0.0,2,1,0,126280.43,0
13417437,701,France,Male,30,4,99841.67,2,1,0,120913.94,0
5357651,730,France,Female,34,6,136882.47,2,1,1,127513.91,0
577473,688,Germany,Female,36,6,130087.06,1,0,1,138485.6,0
15480553,596,Spain,Female,46,5,112718.69,3,1,0,121528.73,1
16372317,656,Germany,Female,33,1,105402.36,2,1,1,38380.56,0
3892120,605,Germany,Female,37,9,111806.58,2,1,1,156215.6,0
1654595,654,Spain,Female,43,1,132732.62,2,1,1,148374.05,0
14239738,668,Germany,Female,34,4,114643.48,1,1,1,57965.63,0
12486810,681,Spain,Female,54,3,134674.92,3,1,0,112881.5,1
2404751,658,France,Male,46,1,134132.19,1,1,1,131056.95,1
13280242,794,Spain,Male,25,3,140713.39,2,1,0,22280.65,0
14881821,517,France,Male,42,6,2502.27,2,0,1,176193.67,0
156117,643,Germany,Female,41,3,142806.79,4,1,0,9271.86,0
6528765,649,Germany,Male,32,6,101702.19,3,1,0,17245.98,1
7750501,675,Spain,Male,44,9,1761.25,2,1,0,160576.7,0
147464,653,Spain,Female,57,1,138766.36,1,0,0,92119.34,0
274509,664,Spain,Male,25,6,116407.02,2,1,0,83592.67,0
16241816,674,France,Male,37,8,967.94,2,1,0,18910.24,0
2641906,702,Germany,Female,27,6,93587.93,2,1,0,162973.93,1
11823128,700,Spain,Male,39,3,160871.54,1,1,1,11875.02,1
11859502,754,Germany,Male,31,5,131231.35,2,1,0,40828.62,0
13360880,750,Spain,Male,52,8,88947.42,2,0,0,114154.58,0
4269552,705,Germany,Female,28,7,95163.42,1,0,1,23938.94,0
6238439,786,Germany,Female,25,8,176022.23,2,1,0,178936.31,0
3757134,692,Germany,Male,25,3,98975.96,1,1,1,53226.06,0
6988493,540,Spain,Female,27,3,170498.1,2,1,0,34907.03,0
4519635,549,France,Female,37,8,113317.01,1,1,1,110709.3,0
4126311,772,France,Female,45,3,102997.65,2,1,1,72047.36,0
11476471,645,France,Female,34,3,122593.67,2,1,0,26850.54,0
4920812,749,Germany,Female,30,3,110760.47,1,1,0,171366.78,0
15533250,702,Spain,Female,27,8,535.24,2,1,0,189678.48,0
10996464,727,France,Female,34,7,125938.05,1,1,1,109968.05,1
981001,649,Spain,Female,51,1,102069.42,1,0,0,148933.39,1
1562112,522,Germany,Male,24,1,108535.41,1,1,0,100829.36,0
13186035,646,Germany,Male,28,1,130506.91,1,1,0,91502.46,0
1959380,624,Germany,Female,49,9,109418.27,2,1,0,100571.42,0
3777340,778,Spain,Female,26,1,0.0,1,1,0,180404.74,0
9396170,694,Spain,Female,34,2,112722.9,1,0,0,184931.11,0
13428286,584,Germany,Male,30,8,142562.0,2,1,1,17142.47,0
13948992,649,France,Female,63,5,114352.1,2,1,0,126035.96,1
3990939,814,France,Male,31,8,169991.29,2,1,0,185979.09,0
6558199,590,France,Female,33,1,96896.76,1,0,0,109193.22,1
6152094,745,Germany,Female,32,3,113649.05,2,1,0,158329.15,0
15452033,757,France,Male,56,8,151072.16,1,1,0,187932.2,0
5310563,643,Spain,Female,45,1,234.05,4,1,0,11.58,1
14035149,735,France,Female,33,3,1770.35,2,0,0,86907.13,1
5419111,627,Spain,Female,41,8,164570.26,1,1,0,36908.28,0
16314851,710,France,Female,35,1,142159.87,2,1,1,43088.22,0
4672837,732,Germany,Male,45,8,116781.53,1,0,0,37962.87,0
12967140,540,France,Female,38,6,113227.04,2,1,1,137961.88,0
10591189,850,Spain,Female,30,1,194564.78,2,0,0,103557.74,0
2840092,767,Spain,Female,32,6,2745.3,2,1,1,176418.76,0
1053782,732,France,Male,34,6,91777.36,1,1,0,107469.6,0
13428006,633,Germany,Female,29,8,110155.58,2,1,0,26223.34,0
14305470,497,Spain,Female,34,8,1945.43,2,0,0,166175.39,0
1451299,639,France,Male,41,0,116615.43,1,1,0,48922.4,0
691147,606,Spain,Female,35,0,100566.9,1,0,0,181524.07,0
6948175,585,Germany,Female,36,8,163522.5,2,0,1,46661.6,1
15499935,600,Germany,Female,54,3,115695.12,3,1,1,147739.28,1
6943995,726,France,Male,40,3,116575.18,1,1,0,141548.75,0
5017602,704,Spain,Male,30,3,85678.96,1,0,0,185539.21,0
12853260,733,Germany,Female,37,3,104222.34,2,0,0,106208.24,0
5776327,586,Spain,Female,37,1,113898.25,1,0,0,188881.26,0
9500223,672,Germany,Male,37,4,120616.91,2,1,1,53486.33,0
7259282,742,France,Female,27,6,2953.25,1,1,0,55485.1,0
8205595,587,France,Female,39,2,138012.53,1,1,1,45156.16,0
13438776,679,France,Female,49,1,90293.05,2,1,1,97118.22,0
6611025,613,Spain,Male,40,5,127447.83,2,1,0,93885.41,0
14228644,622,France,Female,40,3,7.97,2,1,1,19367.37,0
14397014,746,Spain,Male,25,1,1269.14,2,1,0,148111.74,0
12630273,574,Spain,Female,42,5,118646.24,3,1,0,94450.65,1
3851236,689,France,Female,33,7,2137.52,2,1,0,167778.99,0
1673188,747,Germany,Female,30,3,92703.51,2,1,0,153318.04,0
821261,615,France,Female,31,8,112312.49,1,0,1,158449.42,0
7413302,656,Germany,Female,35,6,163958.21,2,1,0,104987.28,0
9264680,850,France,Female,34,3,127178.85,1,1,0,153091.28,0
5259138,578,Spain,Female,52,0,139868.14,1,1,0,124358.66,1
13732767,677,Spain,Female,37,3,30.78,2,0,1,122311.58,0
9961203,800,France,Male,40,8,98790.13,2,1,1,133113.51,0
14372422,761,France,Female,44,5,1994.49,3,1,0,59102.99,1
2428902,677,Spain,Female,33,9,600.77,2,1,0,160400.11,0
6535298,703,Spain,Female,35,6,665.37,1,0,0,110192.84,0
11722751,795,France,Female,39,8,139285.03,2,1,0,121970.34,0
11468085,606,Germany,Male,42,7,77344.26,1,1,0,190525.82,0
3648096,584,Germany,Female,42,9,142019.91,2,1,0,191184.57,0
3638891,684,France,Female,62,8,108722.84,1,1,1,95524.96,0
12879883,772,France,Male,39,1,150383.42,1,0,0,177608.71,0
4252434,669,France,Male,30,8,2260.12,2,1,0,86520.8,0
13036782,706,Spain,Male,47,8,152033.42,2,1,0,112935.67,0
1856473,682,Spain,Female,42,7,0.0,2,1,1,145202.98,1
315845,673,France,Male,39,6,0.0,1,1,0,158440.5,0
7131910,732,Spain,Female,38,1,126055.25,1,0,0,531.07,1
13890907,652,Germany,Male,40,6,136625.15,1,1,0,18763.26,0
14856501,699,France,Female,37,1,99010.83,1,1,0,167918.43,0
135842,660,France,Female,47,3,112876.14,1,1,0,149802.72,0
14178115,643,Spain,Male,52,3,127587.63,2,1,0,11.58,1
12294219,678,France,Male,29,9,0.0,2,1,0,156233.76,0
