customer_id,credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn
14868932,761,France,Female,18,4,127558.33,2,1,1,92404.85,0
15439645,517,Spain,Female,25,7,215.43,1,1,1,25604.61,0
6657851,569,France,Male,46,1,84886.29,1,1,1,127870.48,1
13417437,684,France,Female,38,4,111120.57,1,0,1,113431.08,1
5357651,503,France,Male,31,4,0.0,1,1,1,45947.5,0
577473,818,Germany,Female,40,2,97918.03,1,1,1,112489.12,1
15480553,611,France,Female,57,5,0.0,1,1,1,107799.95,1
16372317,631,Germany,Male,32,6,93162.6,1,1,1,44845.52,0
3892120,481,France,Female,36,9,0.0,2,1,1,187601.37,0
1654595,513,France,Male,41,1,97111.04,1,1,1,17994.45,0
14239738,570,Germany,Female,29,4,108594.94,1,0,1,54069.34,0
12486810,486,France,Female,50,5,0.0,1,1,1,1992.55,1
2404751,596,France,Male,44,1,127416.21,1,1,0,137633.81,1
13280242,725,Spain,Male,32,3,0.0,2,1,0,52825.13,0
14881821,833,France,Male,37,2,93164.09,1,0,1,83296.01,0
156117,661,Germany,Female,42,4,174181.34,4,0,1,17050.41,1
6528765,393,Germany,Female,48,5,18002.35,3,1,0,17608.23,1
7750501,765,Spain,Female,45,9,0.0,1,1,1,148196.3,0
147464,738,Germany,Female,69,5,126037.98,1,0,0,62058.21,0
274509,632,Spain,Male,34,3,0.0,1,1,1,81627.92,0
16241816,622,France,Male,41,8,0.0,1,0,1,6219.26,0
2641906,713,Germany,Female,41,5,128554.56,1,1,0,114868.52,1
11823128,466,Spain,Female,38,3,0.0,2,1,1,6369.87,0
11859502,757,Spain,Male,22,5,149808.74,2,0,1,77208.39,0
13360880,679,France,Male,27,8,120404.22,1,0,0,127216.84,0
4269552,499,France,Female,30,7,154631.6,1,1,1,47536.38,0
6238439,789,Germany,Female,27,8,133111.48,1,1,1,180668.16,1
3757134,545,Germany,Female,41,1,121522.96,1,1,1,85304.06,0
6988493,535,Germany,Female,25,7,170289.57,2,1,1,65026.84,0
4519635,536,France,Female,31,7,114830.89,1,1,1,7645.5,0
4126311,660,Germany,Female,47,8,92976.81,2,1,1,42380.81,0
11476471,367,France,Female,40,5,82228.37,1,1,0,21344.08,1
4920812,461,Germany,Male,43,4,116023.75,1,1,0,43732.26,0
15533250,490,Spain,Male,36,8,365.59,2,1,1,56460.13,0
10996464,598,Spain,Female,32,7,141326.3,1,1,1,115580.75,1
981001,444,France,Female,55,1,98524.97,1,1,0,121566.96,1
1562112,717,Germany,Male,27,1,136341.38,2,1,0,129877.8,0
13186035,568,France,Male,27,7,0.0,2,1,1,61494.38,0
1959380,850,Germany,Female,44,4,113323.27,2,0,1,155928.33,0
3777340,770,Spain,Female,28,0,162481.3,1,1,1,90268.53,0
9396170,653,France,Female,38,2,0.0,1,0,1,92636.51,0
13428286,559,Germany,Male,32,8,131055.68,1,1,1,81804.93,0
13948992,670,France,Female,29,5,468.09,1,1,1,69267.14,1
3990939,581,Spain,Male,23,8,151.72,2,1,0,121951.26,0
6558199,461,France,Female,40,1,106085.55,1,1,1,115933.9,1
6152094,666,Germany,Female,30,6,143723.55,1,1,0,155882.86,1
15452033,695,France,Male,44,7,152248.67,1,0,1,180678.42,1
